smiles,hERG,standardized_smiles
CN1CCN(CC1)CC(=O)N2c3ccccc3C(=O)Nc4cccnc24,596,CN1CCN(CC(=O)N2c3ccccc3C(=O)Nc3cccnc32)CC1
c1ccc2N([C@H](CN3CCCC3)C)c3c(ccc(C(=O)NCCC)c3)Sc2c1,597,CCCNC(=O)c1ccc2c(c1)N(C(C)CN1CCCC1)c1ccccc1S2
CN1CCN(CC1)c2c(F)cc3C(=O)C(=CN4CCSc2c34)C(O)=O,598,CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1
CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,599,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
c1(ccc(c(c1)Cl)Cl)CC(=O)N1[C@H](C[N@@](C)CC1)CN1CCCC1,600,CN1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](CN2CCCC2)c2n(CC1)ccn2)=O,601,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2C1CN1CCCC1
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[C@]2(CC1)NC(NC2=O)=O)CN1CCCC1)=O,602,O=C1NC(=O)C2(CCN(C(=O)Cc3ccc(Cl)c(Cl)c3)C(CN3CCCC3)C2)N1
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[N@@]2C[C@@H](CC2)O)c2n(CC1)ccn2)=O,603,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ccnc2C1CN1CCC(O)C1
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](CN2CCCC2)c2n(CC1)ncn2)=O,604,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCn2ncnc2C1CN1CCCC1
c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](C[N@@]2C[C@@H](CC2)O)C[N@](CC1)CCO)=O,605,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(CCO)CC1CN1CCC(O)C1
[H+].[Cl-].CN(C)CC\C=C/1c2ccccc2COc3ccccc13,606,CN(C)CCC=C1c2ccccc2COc2ccccc21
Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34,608,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
CC\C(=C/C)C(=O)NC(N)=O,609,CC=C(CC)C(=O)NC(N)=O
CCC(C)(CC)OC(N)=O,610,CCC(C)(CC)OC(N)=O
Clc1ccc2n3cnnc3CN=C(c4ccccc4)c2c1,611,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2
CCc1ccccc1N2C(=Nc3ccccc3C2=O)C,612,CCc1ccccc1-n1c(C)nc2ccccc2c1=O
CCOC(=O)c1cnc2n(CC)ncc2c1NN=C(C)C,613,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C
CCC(O)(\C=C\Cl)C#C,614,C#CC(O)(C=CCl)CC
NC(=O)OC1(CCCCC1)C#C,615,C#CC1(OC(N)=O)CCCCC1
c1nc(C2CCN(CC2)C(NC2CCCCC2)=S)c[nH]1,620,S=C(NC1CCCCC1)N1CCC(c2c[nH]cn2)CC1
c1ccc2Oc3c(cc(cc3)Cl)[C@@H]3[C@@H](c2c1)C[N@](CC3)C,621,CN1CCC2c3cc(Cl)ccc3Oc3ccccc3C2C1
c1c(Cl)nc(N2CCN(CCCCN3C(CCC3)=O)CC2)cc1C(F)(F)F,622,O=C1CCCN1CCCCN1CCN(c2cc(C(F)(F)F)cc(Cl)n2)CC1
c1ccc2Oc3c(cc(cc3)Cl)[C@@H]3[C@@H](c2c1)CNCC3,623,Clc1ccc2c(c1)C1CCNCC1c1ccccc1O2
c1(ccc(c(c1)Cl)Cl)CC(N1[C@H](C[N@@]2C[C@@H](CC2)O)c2c(CC1)[nH]cn2)=O,624,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCc2[nH]cnc2C1CN1CCC(O)C1
c1ccc2nc(c(c(C(N[C@@H](CC)c3ccccc3)=O)c2c1)O)c1ccccc1,625,CCC(NC(=O)c1c(O)c(-c2ccccc2)nc2ccccc12)c1ccccc1
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(nc2cc1)c1ccccc1)OCCCN(C)C,626,CCC(NC(=O)c1c(OCCCN(C)C)c(-c2ccccc2)nc2ccccc12)c1ccccc1
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(nc2cc1)c1ccccc1)OCC(O)=O,627,CCC(NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(c3ccccc3)nc2cc1)OCCCC(O)=O,628,CCC(NC(=O)c1c(OCCCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1
c1ccc2c(c(C(N[C@@H](CC)c3ccccc3)=O)c(OCCNC(Cc3c(cccc3)C(=O)O)=O)c(c3ccccc3)n2)c1,629,CCC(NC(=O)c1c(OCCNC(=O)Cc2ccccc2C(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1
c1cc2c(c(OCCNC(Cc3ncccc3)=O)c(c3ccccc3)nc2cc1)C(N[C@@H](CC)c1ccccc1)=O,630,CCC(NC(=O)c1c(OCCNC(=O)Cc2ccccn2)c(-c2ccccc2)nc2ccccc12)c1ccccc1
c1cc2c(c(c(c3ccccc3)nc2cc1)OCCNC([C@@H]1CCCN1)=O)C(=O)N[C@@H](CC)c1ccccc1,631,CCC(NC(=O)c1c(OCCNC(=O)C2CCCN2)c(-c2ccccc2)nc2ccccc12)c1ccccc1
c1cc2c(C(N[C@@H](CC)c3ccccc3)=O)c(c(nc2cc1)c1ccccc1)Cn1cncc1,632,CCC(NC(=O)c1c(Cn2ccnc2)c(-c2ccccc2)nc2ccccc12)c1ccccc1
C[C@H]1CN(C[C@@H](C)N1)c2c(F)c(N)c3C(=O)C(=CN(C4CC4)c3c2F)C(O)=O,633,CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)CC(C)N1
CCC1(C)CC(=O)NC1=O,634,CCC1(C)CC(=O)NC1=O
CCc1ccc2Sc3ccccc3N(CC(C)CN(C)C)c2c1,635,CCc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
OCCN1CCN(CC\C=C/2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,636,OCCN1CCN(CCC=C2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1,637,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13,638,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c2cc(Cl)ccc21
COc1cc2CCN(C)C3CC4(C=CC(=O)C=C4)c(c1O)c23,639,COc1cc2c3c(c1O)C1(C=CC(=O)C=C1)CC3N(C)CC2
CCC1(CCC(=O)NC1=O)c2ccccc2,640,CCC1(c2ccccc2)CCC(=O)NC1=O
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Cl)cc3,641,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1
CC1=C2NC3=CC(=O)C=CC3=C2C=CN1,642,Cc1[nH]ccc2c1[nH]c1cc(=O)ccc12
Cc1nccc2c1[nH]c3ccccc23,643,Cc1nccc2c1[nH]c1ccccc12
c1cc(ncc1)CSCCNc1c(cc[nH]1)[N+](=O)[O-],645,O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1
c1(cc(nc(c1C)C)C(SC(CNc1c(cc[nH]1)[N+](=O)[O-])(C)C)(C)C)C,646,Cc1cc(C(C)(C)SC(C)(C)CNc2[nH]ccc2[N+](=O)[O-])nc(C)c1C
c1(c(oc(c1C)C(N(C(C)(N)C)C(N)(C)C)(C)C)C)C.C[NH+]O.[OH-],652,Cc1oc(C(C)(C)N(C(C)(C)N)C(C)(C)N)c(C)c1C
[NH]C(CC(C)C([N@@](C(C)(C)C)C(N)(C)N)(C)C)c1c(c(c[nH+][o+]1)C)[O-],653,Cc1c[nH][o+]c(C([NH])CC(C)C(C)(C)N(C(C)(C)C)C(C)(N)N)c1=O
CCNCc1c(O)c(C)ncc1CSC,654,CCNCc1c(CSC)cnc(C)c1O
CN1C(=C(\O)Nc2ccccn2)/C(=O)c3sccc3[S]1(=O)=O,655,CN1C(=C(O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4,656,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
CN(C1CCCC[C@H]1N2CCCC2)C(=O)Cc3ccc(Cl)c(Cl)c3,657,CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1
CN1CC[C@]23[C@H]4Oc5c(OC(C)=O)ccc(C[C@@H]1[C@@H]2C=C[C@@H]4OC(C)=O)c35,658,CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341
NC(=O)OC1(CCCCC1)CC#C,659,C#CCC1(OC(N)=O)CCCCC1
[H+].[H+].[Cl-].[Cl-].OCCN1CCCN(CCCN2c3ccccc3Sc4cc(ccc24)C(F)(F)F)CC1,660,OCCN1CCCN(CCCN2c3ccccc3Sc3cc(C(F)(F)F)ccc32)CC1
COc1ccc2C[C@@H]3[C@@H]4CCC(=O)[C@@H]5Oc1c2[C@]45CCN3C,661,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314
CCC(O)(COC(N)=O)c1ccccc1,662,CCC(O)(COC(N)=O)c1ccccc1
OCCOCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,663,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
CN(C)CCCN1c2ccccc2CCc3ccccc13,664,CN(C)CCCN1c2ccccc2CCc2ccccc21
CNC1(CCCCC1=O)c2ccccc2Cl,665,CNC1(c2ccccc2Cl)CCCCC1=O
OC(=O)C1=CC(=O)c2ccccc2N1,666,O=C(O)c1cc(=O)c2ccccc2[nH]1
CN(C)Cc1oc(cc1)CSCCNC=1NC=C(CN1)Cc1cnc(cc1)C,674,Cc1ccc(CC2=CNC(NCCSCc3ccc(CN(C)C)o3)=NC2)cn1
c1(nccc(c1)c1nc([nH]n1)N)N(C)C,675,CN(C)c1cc(-c2n[nH]c(N)n2)ccn1
n1(c(c2nc[nH]c2n(c1=O)C)=O)C,676,Cn1c(=O)c2nc[nH]c2n(C)c1=O
Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)C(=O)c3ccc(F)cc3,677,O=C(CCCN1CCC(C(=O)c2ccc(F)cc2)CC1)c1ccc(F)cc1
CN1CC[C@]23CCCC[C@H]2[C@H]1Cc4ccc(O)cc34,678,CN1CCC23CCCCC2C1Cc1ccc(O)cc13
CCN(CC)CC(=O)Nc1c(C)cccc1C,679,CCN(CC)CC(=O)Nc1c(C)cccc1C
OC1N=C(c2ccccc2Cl)c3cc(Cl)ccc3NC1=O,680,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
CC(C)N1CCC(CC1)N(C(=O)Cc2ccccc2)c3ccc(Cl)cc3,681,CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1
CN(C)CCOC(=O)COc1ccc(Cl)cc1,682,CN(C)CCOC(=O)COc1ccc(Cl)cc1
CC1=Nc2ccccc2C(=O)N1c3ccccc3Cl,683,Cc1nc2ccccc2c(=O)n1-c1ccccc1Cl
CN1CCN=C(c2ccccc2)c3cc(Cl)ccc13,684,CN1CCN=C(c2ccccc2)c2cc(Cl)ccc21
CCCC(C)(COC(N)=O)COC(N)=O,685,CCCC(C)(COC(N)=O)COC(N)=O
c1c2CCOc2c(cc1OC)CN[C@@H]1CCCN[C@H]1c1ccccc1,686,COc1cc2c(c(CNC3CCCNC3c3ccccc3)c1)OCC2
c1(c(cc2n(ncc2c1)CCN)Cl)Cl,688,NCCn1ncc2cc(Cl)c(Cl)cc21
Nc1nc(NC2CC2)c3ncn([C@@H]4C[C@H](CO)C=C4)c3n1,689,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1
NC1=NC(=O)c2ncn(COCCO)c2N1,691,Nc1nc(=O)c2ncn(COCCO)c2[nH]1
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,692,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1
NCCCNCCS[P](O)(O)=O,693,NCCCNCCSP(=O)(O)O
COc1cc(CCN)cc(OC)c1OC,694,COc1cc(CCN)cc(OC)c1OC
CN1CCCCC1CCN2c3ccccc3Sc4ccc(cc24)[S](C)=O,695,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21
CN[C@@H](C)Cc1ccccc1,696,CNC(C)Cc1ccccc1
Cc1ccccc1N2C(=Nc3ccccc3C2=O)C,697,Cc1ccccc1-n1c(C)nc2ccccc2c1=O
COc1ccccc1OCC(O)COC(N)=O,698,COc1ccccc1OCC(O)COC(N)=O
COc1ccc2Sc3ccccc3N(CCCN(C)C)c2c1,699,COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2
COc1ccc2Sc3ccccc3N(C[C@H](C)CN(C)C)c2c1,700,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
CCC(C)(O)C#C,701,C#CC(C)(O)CC
COC(=O)C(C1CCCCN1)c2ccccc2,702,COC(=O)C(c1ccccc1)C1CCCCN1
CCC1(CC)C(=O)NCC(C)C1=O,703,CCC1(CC)C(=O)NCC(C)C1=O
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,704,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O
Nc1ccc(C(O)=O)c(O)c1,705,Nc1ccc(C(=O)O)c(O)c1
NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,706,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
CN(C)N\N=C/1N=CN=C1C(N)=O,707,CN(C)NN=C1N=CN=C1C(N)=O
COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O,708,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=C3C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O)O,709,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12
Clc1ccc2NC(=O)CC(=O)N(c3ccccc3)c2c1,710,O=C1CC(=O)N(c2ccccc2)c2cc(Cl)ccc2N1
CNCCCN1c2ccccc2Sc3ccccc13,711,CNCCCN1c2ccccc2Sc2ccccc21
C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,712,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
Cc1ccc(cc1)C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2,714,Cc1ccc(C2(O)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1
CN1CC[C@]23[C@H]4Oc5c(O)ccc(C[C@@H]1[C@@H]2C=CC4O)c35,715,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
CN1CCC(=CC1)c2ccccc2,716,CN1CC=C(c2ccccc2)CC1
Oc1ccc2C[C@H]3N(CC[C@@]45[C@@H](Oc1c24)C(=O)CC[C@@]35O)CC=C,717,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
CN1CCC[C@H]1c2cccnc2,718,CN1CCCC1c1cccnc1
[O-][N+](=O)c1ccc2NC(=O)CN=C(c3ccccc3)c2c1,719,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1
Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,720,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1
CNCCC=C1c2ccccc2CCc3ccccc13,721,CNCCC=C1c2ccccc2CCc2ccccc21
CN(C)CCOC(c1ccccc1)c2ccccc2C,722,Cc1ccccc1C(OCCN(C)C)c1ccccc1
COc1ccc2C[C@H]3[C@H]4CCCC[C@@]4(CCN3C)c2c1,723,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3
CN1C[C@@H](C[C@H]2[C@H]1Cc3c[nH]c4cccc2c34)C(=O)N[C@]5(C)O[C@@]6(O)[C@@H]7CCCN7C(=O)[C@H](Cc8ccccc8)N6C5=O,724,CN1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)CC21
CCN(CC)C(=S)SSC(=S)N(CC)CC,725,CCN(CC)C(=S)SSC(=S)N(CC)CC
FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC3CC3,726,O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2CCC[C@H]2C(O)=O,727,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CCCC1C(=O)O
CC[C@@H](CO)NCCN[C@@H](CC)CO,728,CCC(CO)NCCNC(CC)CO
CC[C@@]1(O)C[C@H](OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c5c(O)c6C(=O)c7c(O)cccc7C(=O)c6cc5[C@H]1C(=O)OC,729,CCC1(O)CC(OC2CC(N(C)C)C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)C1C(=O)OC
CC1(C)S[C@@H]2[C@H](NC(=O)CCC[C@@H](N)C(O)=O)C(=O)N2[C@H]1C(O)=O,730,CC1(C)SC2C(NC(=O)CCCC(N)C(=O)O)C(=O)N2C1C(=O)O
COc1cccc2C(=O)c3c(O)c4CC(O)(CC(O)c4c(O)c3C(=O)c12)C(=O)CO,732,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3O
[Na+].CC1(C)SC2C(NC(=O)CSCC=C)C(=O)N2C1C([O-])=O,733,C=CCSCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)[O-]
CC1(C)S[C@@H]2[C@H](NC(=O)C34C[C@H]5C[C@H](CC(N)(C5)C3)C4)C(=O)N2[C@H]1C(O)=O,734,CC1(C)SC2C(NC(=O)C34CC5CC(CC(N)(C5)C3)C4)C(=O)N2C1C(=O)O
CC(C)(C)C(=O)OCOC(=O)C1N2[C@H](SC1(C)C)[C@H](N=CN3CCCCCC3)C2=O,735,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C
CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4ccc(N)c(O)c4C(=C3C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O)O,736,CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(ccc(N)c4O)CC3CC12
[Cl-].CC(=O)[C@@]1(N)C[C@H](O[C@H]2C[C@H](O)[C@H](O)CO2)c3c(O)c4C(=O)c5ccccc5C(=O)c4c(O)c3C1.[H+],737,CC(=O)C1(N)Cc2c(O)c3c(c(O)c2C(OC2CC(O)C(O)CO2)C1)C(=O)c1ccccc1C3=O
CC1(C)S[C@@H]2C(NC(=O)[C@H](NC(=O)C3=CNc4cccnc4C3=O)c5ccccc5)C(=O)N2[C@H]1C(O)=O,738,CC1(C)SC2C(NC(=O)C(NC(=O)c3c[nH]c4cccnc4c3=O)c3ccccc3)C(=O)N2C1C(=O)O
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(/O)NC(N5CCN(CCO)CC5)C(O)=O)C1=O,739,CN(C)C1C(=O)C(=C(O)NC(C(=O)O)N2CCN(CCO)CC2)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12
CN[C@H]1[C@@H](O)[C@H]2O[C@@H](O[C@@H]3[C@@H](N)C[C@@H](N)[C@H](O)[C@H]3O)[C@H](N)C[C@@H]2O[C@@H]1O[C@H]4O[C@H](CO)[C@@H](N)[C@H](O)[C@H]4O,740,CNC1C(OC2OC(CO)C(N)C(O)C2O)OC2CC(N)C(OC3C(N)CC(N)C(O)C3O)OC2C1O
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,741,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)CCC2N)C(O)C1OC1OC(CO)C(O)C(N)C1O
CNC(=O)C[C@@H](N)C(=O)N[C@@H](C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O)c3ccc(O)cc3,742,CNC(=O)CC(N)C(=O)NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccc(O)cc1
CO[C@H]1[C@@H](O)[C@H](N)[C@@H](O[C@H]2O[C@@H](CC[C@H]2N)C(C)N)[C@H](O)[C@@H]1N(C)C(=O)CN,743,COC1C(O)C(N)C(OC2OC(C(C)N)CCC2N)C(O)C1N(C)C(=O)CN
C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\c2csc([NH3+])n2)C(=O)N1[S]([O-])(=O)=O,744,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-]
CCOC(=O)OC(C)OC(=O)[C@@H]1N2[C@H](SC1(C)C)[C@H](N=CN3CCCCCC3)C2=O,745,CCOC(=O)OC(C)OC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C
NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O,746,NCC1OC(OC2C(N)CC(N)C(OC3OC(CO)C(O)C(N)C3O)C2O)C(N)C(O)C1O
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,747,NC(CO)C(=O)NNCc1ccc(O)c(O)c1O
CC(C)COCC(CN(Cc1ccccc1)c2ccccc2)N3CCCC3,748,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC2CC(C)(OC)C(O)C(C)O2)C(C)[C@@H](OC3OC(C)CC(C3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,749,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1C
NCCC(O)CNC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC3OC(CO)C(O)C(N)C3O,750,NCCC(O)CNC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O
CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1,751,CC(C)(C)NCC(O)c1ccc(O)c(NC(N)=O)c1
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccccc3)c4ccccc4)C(=O)N2[C@H]1C(O)=O,752,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccccc3)c3ccccc3)C(=O)N2C1C(=O)O
CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4CCCc4c3)c5ccccc5)C(=O)N2[C@H]1C(O)=O,753,CC1(C)SC2C(NC(=O)C(C(=O)Oc3ccc4c(c3)CCC4)c3ccccc3)C(=O)N2C1C(=O)O
CC1OC(CC(N)C1O)OC2C[C@@](O)(Cc3c(O)c4C(=O)c5cccc(O)c5C(=O)c4c(O)c23)C(C)=O,754,CC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(O)cccc1C3=O
NC(=O)OCC1[C@H](NC(=O)C(=N/OCC(O)=O)\c2csc(N)n2)C(=O)N1[S](O)(=O)=O,755,NC(=O)OCC1C(NC(=O)C(=NOCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
N[C@@H](C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)Cl)c3ccccc3,756,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CSC12)c1ccccc1
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(O)=O,757,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccc(O)cc3)C2SC1
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O,758,CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(N)c3ccccc3)C2SC1
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)Cc3ccccc3)C2=O)C(O)=O,759,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1
Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)C(N)c4ccc(O)cc4)C3=O)C(O)=O)nn1,760,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)C(N)c4ccc(O)cc4)C3SC2)s1
NC(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc3cn[nH]n3)c4ccc(O)cc4,761,NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3cn[nH]n3)CSC12)c1ccc(O)cc1
[Na+].Cn1nnnc1SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CSC(F)(F)F)C3=O)C([O-])=O,762,Cn1nnnc1SCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CSC(F)(F)F)C2SC1
Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)CN4C=C(Cl)C(=O)C(=C4)Cl)C3=O)C(O)=O)nn1,763,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cc(Cl)c(=O)c(Cl)c4)C3SC2)s1
Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)[C@H](O)c4ccccc4)C3=O)C(O)=O)nn1,764,Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)C(O)c4ccccc4)C3SC2)s1
CC(N)C(=O)OC(C(=O)NC1C2SCC(=C(N2C1=O)C(=O)OCC3=C(C)OC(=O)O3)CSc4sc(C)nn4)c5ccccc5,765,Cc1nnc(SCC2=C(C(=O)OCc3oc(=O)oc3C)N3C(=O)C(NC(=O)C(OC(=O)C(C)N)c4ccccc4)C3SC2)s1
